allocation_id,channel_id,quarter,year,allocated_budget,spent_budget,planned_spend,budget_utilization,performance_score,recommended_adjustment
1_Q1,1,Q1,2024,37486,124462,66742,0.97,0.32,Maintain
1_Q2,1,Q2,2024,88472,155796,97644,0.78,0.97,Increase
1_Q3,1,Q3,2024,81575,31726,28758,1.18,0.39,Increase
1_Q4,1,Q4,2024,161091,171005,189392,0.66,1.0,Decrease
2_Q1,2,Q1,2024,179856,123993,20218,0.67,0.76,Decrease
2_Q2,2,Q2,2024,99550,124801,31863,0.72,0.44,Maintain
2_Q3,2,Q3,2024,10257,64752,131717,0.97,0.48,Pause
2_Q4,2,Q4,2024,117976,45309,106357,1.2,0.66,Decrease
3_Q1,3,Q1,2024,37037,82619,157798,1.0,0.41,Increase
3_Q2,3,Q2,2024,135646,49908,59943,0.96,0.35,Maintain
3_Q3,3,Q3,2024,47211,25012,110651,0.7,0.74,Increase
3_Q4,3,Q4,2024,137869,104674,103275,1.09,0.75,Pause
4_Q1,4,Q1,2024,74678,159546,126066,0.71,0.91,Pause
4_Q2,4,Q2,2024,170417,49657,18033,0.81,0.71,Increase
4_Q3,4,Q3,2024,116326,128720,112208,1.15,0.37,Maintain
4_Q4,4,Q4,2024,31318,123835,78338,0.66,0.94,Pause
5_Q1,5,Q1,2024,56359,90443,39195,0.8,0.72,Pause
5_Q2,5,Q2,2024,133532,39319,160768,1.16,0.92,Decrease
5_Q3,5,Q3,2024,121183,55904,129256,0.91,0.32,Pause
5_Q4,5,Q4,2024,194999,132461,25987,0.92,0.94,Decrease
6_Q1,6,Q1,2024,172937,23242,61909,1.16,0.45,Increase
6_Q2,6,Q2,2024,173353,175768,38492,0.65,0.93,Decrease
6_Q3,6,Q3,2024,102675,139785,189002,0.99,0.89,Pause
6_Q4,6,Q4,2024,101472,144965,113091,0.71,0.78,Pause
7_Q1,7,Q1,2024,58143,94561,124090,0.97,0.61,Maintain
7_Q2,7,Q2,2024,173426,79523,68746,1.02,0.99,Increase
7_Q3,7,Q3,2024,90045,80460,99015,1.17,0.94,Decrease
7_Q4,7,Q4,2024,107529,67965,20447,0.85,0.5,Decrease
8_Q1,8,Q1,2024,84979,125840,176571,0.97,0.76,Increase
8_Q2,8,Q2,2024,188660,15357,98918,0.71,0.66,Maintain
8_Q3,8,Q3,2024,25794,35636,184244,1.03,0.98,Increase
8_Q4,8,Q4,2024,68969,157851,186193,0.62,0.43,Decrease
9_Q1,9,Q1,2024,34395,153845,66073,1.16,0.53,Increase
9_Q2,9,Q2,2024,52239,108424,81405,1.13,0.42,Decrease
9_Q3,9,Q3,2024,147847,20439,131382,0.84,0.85,Pause
9_Q4,9,Q4,2024,33643,98871,108030,0.78,0.41,Decrease
10_Q1,10,Q1,2024,125400,5208,178009,0.89,0.34,Pause
10_Q2,10,Q2,2024,187136,133199,171310,0.81,0.36,Maintain
10_Q3,10,Q3,2024,105795,98191,163253,0.64,0.6,Increase
10_Q4,10,Q4,2024,149444,46312,23728,0.9,0.76,Decrease
